time,magnitude,sigma_time,sigma_amp,cov_time_amp,gamma_score,num_picks,num_p_picks,num_s_picks,event_index,x(km),y(km),z(km),longitude,latitude,depth(m),source_file
2014-11-19T21:31:20.167,1.30088,2.18565,0.20692,0.31461,28.0,17,11,6,713,159.89803,100.75328,7.41344,-87.16978,38.39356,7413.43951,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-19T21:49:50.052,1.44533,0.97947,0.41518,-0.00299,29.3194,30,19,11,714,168.6505,-16.74521,12.244,-87.09693,37.33379,12244.00274,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-19T21:50:00.474,1.6944,1.67293,0.63574,0.20633,16.56078,11,10,1,715,187.62147,-11.69815,0.0,-86.88168,37.3756,0.0,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-19T21:51:23.287,1.11533,0.55387,0.29294,0.22493,20.0,15,14,1,716,170.11227,-19.4601,19.78123,-87.08107,37.30907,19781.22801,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-20T14:14:37.086,1.31944,1.44191,0.36413,-0.03812,41.98241,42,27,15,734,157.32644,75.56578,14.31169,-87.20475,38.16718,14311.6912,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-20T15:53:47.076,0.39839,0.87915,0.29012,-0.04582,15.95914,16,10,6,736,147.86583,80.1301,5.35096,-87.31173,38.20988,5350.96268,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-20T16:13:21.880,1.05879,0.57972,0.17252,-0.05277,15.92099,16,10,6,738,153.69772,81.04573,13.47479,-87.24497,38.21716,13474.79211,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-20T19:48:58.343,1.1933,0.7893,0.16437,-0.04206,17.9971,18,10,8,743,150.18388,83.08065,18.71853,-87.28465,38.23607,18718.53482,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-20T20:36:23.000,1.36906,0.32278,0.06337,-0.00863,14.9599,15,10,5,747,151.92073,84.06052,14.84212,-87.26461,38.24461,14842.1162,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-20T21:55:24.439,1.73734,1.66198,0.51156,0.12035,57.86626,56,38,18,749,156.89147,74.61066,19.38367,-87.20992,38.15866,19383.67173,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-20T21:25:36.427,1.37744,2.16913,0.26618,0.11655,23.80976,24,16,8,750,168.766,-13.38883,15.83038,-87.09487,37.364,15830.38457,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-20T22:06:12.024,1.25807,1.35035,0.32197,0.08298,33.99469,31,22,9,752,182.329,-12.27133,12.00865,-86.94155,37.37149,12008.65281,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-21T14:55:02.467,1.30688,1.25181,0.36626,-0.08325,38.72316,39,26,13,771,155.90672,71.70516,16.25925,-87.22178,38.13266,16259.24974,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-21T19:06:36.752,1.51884,1.80457,0.39822,-0.02556,59.8627,52,37,15,779,152.08926,74.73646,22.43913,-87.26467,38.16061,22439.1328,merged_gamma_catalog_2014_Nov_Dec.csv
